function,location,operation,type,description
naccage,file.info.derived.naccage,update,,
naccnihr,file.info.derived.naccnihr,update,,
naccalzp,file.info.derived.naccalzp,update,,
nacclbde,file.info.derived.nacclbde,update,,
nacclbdp,file.info.derived.nacclbdp,update,,
naccudsd,file.info.derived.naccudsd,update,,
naccetpr,file.info.derived.naccetpr,update,,
naccppa,file.info.derived.naccppa,update,,
naccbvft,file.info.derived.naccbvft,update,,
nacclbds,file.info.derived.nacclbds,update,,
naccnorm,file.info.derived.naccnorm,update,,
naccdage,file.info.derived.naccdage,update,,
naccdied,file.info.derived.naccdied,update,,
naccbraa,file.info.derived.naccbraa,update,,
naccneur,file.info.derived.naccneur,update,,
naccmicr,file.info.derived.naccmicr,update,,
nacchem,file.info.derived.nacchem,update,,
naccarte,file.info.derived.naccarte,update,,
nacclewy,file.info.derived.nacclewy,update,,
naccapoe,file.info.derived.naccapoe,update,,
ngdsgwas,file.info.derived.ngdsgwas,update,,
ngdsexom,file.info.derived.ngdsexom,update,,
ngdswgs,file.info.derived.ngdswgs,update,,
ngdswes,file.info.derived.ngdswes,update,,
uds_visitdates,subject.info.derived.uds_visitdates,sortedlist,,
scan_mri_dates,subject.info.derived.scan_mri_dates,sortedlist,,
scan_pet_dates,subject.info.derived.scan_pet_dates,sortedlist,,
contributing_diagnosis,subject.info.cognitive.uds.other-diagnosis.initial,initial,,
contributing_diagnosis,subject.info.cognitive.uds.other-diagnosis.latest,latest,,
contributing_diagnosis,subject.info.cognitive.uds.other-diagnosis.all,set,,
dementia,subject.info.cognitive.uds.dementia-type.initial,initial,,
dementia,subject.info.cognitive.uds.dementia-type.latest,latest,,
dementia,subject.info.cognitive.uds.dementia-type.all,set,,
cognitive_status,subject.info.cognitive.uds.cognitive-status.initial,initial,,
cognitive_status,subject.info.cognitive.uds.cognitive-status.latest,latest,,
cognitive_status,subject.info.cognitive.uds.cognitive-status.all,set,,
etpr,subject.info.cognitive.uds.etpr.initial,initial,,
etpr,subject.info.cognitive.uds.etpr.latest,latest,,
etpr,subject.info.cognitive.uds.etpr.all,set,,
global_cdr,subject.info.cognitive.uds.cdrglob.initial,initial,,
global_cdr,subject.info.cognitive.uds.cdrglob.latest,latest,,
global_cdr,subject.info.cognitive.uds.cdrglob.set,set,,
normal_cognition,subject.info.derived.naccnorm,min,,
uds_age,subject.info.demographics.uds.age.initial,initial,,
uds_age,subject.info.demographics.uds.age.latest,latest,,
uds_sex,subject.info.demographics.uds.sex.latest,latest,,
uds_race,subject.info.demographics.uds.race.latest,latest,,
uds_primary_language,subject.info.demographics.uds.primary-language.latest,latest,,
uds_education_level,subject.info.demographics.uds.education-level.latest,latest,,
age_at_death,subject.info.derived.naccdage,update,,
vital_status,subject.info.demographics.uds.vital-status.latest,latest,,
ngdsgwas_mqt,subject.info.genetics.ngdsgwas,update,,
ngdsexom_mqt,subject.info.genetics.ngdsexom,update,,
ngdswes_mqt,subject.info.genetics.ngdswes,update,,
ngdswgs_mqt,subject.info.genetics.ngdswgs,update,,
total_uds_visits,subject.info.longitudinal-data.uds.count.latest,latest,,
years_of_uds,subject.info.longitudinal-data.uds.year-count,max,,
uds_versions_available,subject.info.study-parameters.uds.versions,set,,
scan_mri_scan_types,subject.info.imaging.mri.scan.types,set,,
scan_volume_analysis_indicator,subject.info.imaging.mri.scan.t1.brain-volume,max,,
scan_flair_wmh_indicator,subject.info.imaging.mri.scan.flair.wmh,max,,
scan_pet_scan_types,subject.info.imaging.pet.scan.types,set,,
scan_pet_amyloid_tracers,subject.info.imaging.pet.scan.amyloid.tracers,set,,
scan_pet_tau_tracers,subject.info.imaging.pet.scan.tau.tracers,set,,
scan_pet_centaloid,subject.info.imaging.pet.scan.amyloid.centiloid.min,min,,
scan_pet_centaloid_pib,subject.info.imaging.pet.scan.amyloid.pib.centiloid.min,min,,
scan_pet_centaloid_florbetapir,subject.info.imaging.pet.scan.amyloid.florbetapir.centiloid.min,min,,
scan_pet_centaloid_florbetaben,subject.info.imaging.pet.scan.amyloid.florbetaben.centiloid.min,min,,
scan_pet_centaloid_nav4694,subject.info.imaging.pet.scan.amyloid.nav4694.centiloid.min,min,,
scan_pet_amyloid_positivity_indicator,subject.info.imaging.pet.scan.amyloid.positive-scans,max,,
scan_mri_count,subject.info.imaging.mri.scan.count,max,,
scan_pet_count,subject.info.imaging.pet.scan.count,max,,
scan_mri_year_count,subject.info.imaging.mri.scan.year-count,max,,
scan_pet_year_count,subject.info.imaging.pet.scan.year-count,max,,
